Date,Target Name,Target Tags,Target Description,Revenue,Revenue Year,Sector,Buyers,Sellers,Valorisation,Operation Type,Transaction Amount
13 déc. 2024,SILL ENTREPRISES,"France |, Bretagne","Produits laitiers, jus de fruits, potages liquides et plats cuisinés surgelés",650,2024,N/A,"IDIA CAPITAL INVESTISSE..., UNEXO, SOCIETE GENERALE CAPITA...","MANAGER(S)
                    
                                                ,                                                            
                                
                                                                                                                    ARKEA CAPITAL
                                                    
                            ,                                                            
                                
                                                                                                                    UNIGRAINS
                                                    
                            ,                                                            
                                
                                                                                                                    CREDIT MUTUEL EQUITY",n.d.,Cession de titres,n.d.
13 déc. 2024,FACTEM,"France |, Normandie","Concepteur, fabricant et distributeur d’équipements acoustiques civils et militaires (équipements de transmission, détecteurs industriels, notamment pour la communication en environnement difficile)",17,2024,"Automobile, aérospatial, construction navale","VOLNEY DEVELOPPEMENT, OCEAN PARTICIPATIONS","NCI
                                                    
                            ,                                                            
                                                                        MANAGER(S)",15-20 M€,LBO Bis,n.d.
13 déc. 2024,RHEONOVA,"France |, Auvergne-Rhône-Alpes",Laboratoire d’analyses et fabrication de rhéomètres pour les mesures de viscosités,,N/A,Produits Pharmaceutiques & matériel médical,SOWEFUND,n/a,0-5 M€,1er tour,N/A
12 déc. 2024,RACINE2 (RACINE CARRÉE),"France |, Île-de-France","Clinique spécialisée dans les implants et soins capillaires (dont mésogreffe, mésothérapie et traitements LED)",10,2024,"Santé, beauté et services associés",KRESK DEVELOPPEMENT,n/a,0-20 M€,Augmentation de capital,5-10
12 déc. 2024,DREAM ENERGY,"France |, Île-de-France",Producteur d'énergies renouvelables,,N/A,N/A,"ARTEA, TRANSPORT INFRASTRUCTUR...",n/a,230 M€,Augmentation de capital,n.d.
12 déc. 2024,ANDERA PARTNERS,"France |, Île-de-France",Société d'investissement,,N/A,N/A,"NEW YORK LIFE INVESTMENTS, CANDRIAM",MANAGER(S),n.d.,Augmentation de capital,n.d.
12 déc. 2024,GESTAL,"France |, Pays de la Loire","Groupe multi-métiers et multi-secteurs dans le domaine des services à l’industrie (maintenance industrielle et d’installation en électricité, tuyauterie et serrurerie..)",112,2023,Produits & Services industriels,"BNP PARIBAS DEVELOPPEMENT, BPIFRANCE INVESTISSEMENT, SODERO (EX SODERO GESTION), FCDE","FCDE
                                                    
                            ,                                                            
                                                                        MANAGER(S)",50-150 M€,LBO Bis,n.d.
12 déc. 2024,WEETEC,"France |, Île-de-France","Prestataire de réhabilitation, de travaux neufs, de maintenance et de petits travaux en génie électrique et climatique, visant une clientèle diversifiée (bâtiments tertiaires, logements sociaux, logements neufs…)",85,2024,"Immobilier & construction, bâtiment",ORTEC GROUPE,"SPARRING CAPITAL
                                                    
                            ,                                                            
                                
                                                                                                                    SOCADIF
                                                    
                            ,                                                            
                                                                        PERSONNE(S) PHYSIQUE(S)
                    
                                                ,                                                            
                                                                        MANAGER(S)",50-150 M€,Sortie M&A Corporate,50-150
12 déc. 2024,WOOMIO,"Danemark |, Etranger",Éditeur d’un logiciel Saas mettant en relation des marques et des influenceurs,,N/A,Logiciel et services informatiques,"KOLSQUARE, TEAM.BLUE, HG CAPITAL (HG), CANADA PENSION PLAN INV...","FONDATEUR(S)
                    
                                                ,                                                            
                                
                                                                                                                    VENDEP STARTUP FUND
                                                    
                            ,                                                            
                                
                                                                                                                    DANISH GROWTH FUND (VAE...
                                                    
                            ,                                                            
                                
                                                                                                                    NORDIC MAKERS
                                                    
                            ,                                                            
                                
                                                                                                                    MIL INVEST",0-20 M€,Build-up international,0-20
12 déc. 2024,COOL'N CAMP,"France |, Occitanie",Éditeur de solutions digitales de conciergerie et de relation client dans le segment de l’hôtellerie de plein air,1,2024,Logiciel et services informatiques,"SEPTEO, HG CAPITAL (HG), TETHYS INVEST, GIC",MANAGER(S),0-5 M€,Build-up,0-5
