Date,Target Name,Target Tags,Target Description,Revenue,Revenue Year,Sector,Buyers,Sellers,Valorisation,Operation Type,Transaction Amount,FM et TNT),"connu sous le nom de port de Citranusa Kabil.
- PT Citra Pembina Pengangkutan Industries (CPPI) est un fournisseur de services logistiques complets dans les services suivants","d’alimentation en eau potable (AEP) et de réseaux fibrés
2LTP",financement avec annuaire des professionnels de la maison.- GUIDE-Piscine.fr,principalement auprès des organismes publics,c'est 16 marques,spécialisé dans la mobilité urbaine,Uniques - Activité occasion,"l'architecture ;
- The Good Life (créé en 2011)",développé sur quatre verticales,(PB WEALTH MANAGER),spécialisée dans les domaines de la santé,le streetwear)
20 déc. 2023,OKOMERA,France |,Développement d'un dispositif de reproduction des cellules cancéreuses pour tester ou créer des thérapies,nan,nan,Produits Pharmaceutiques & matériel médical,OTIUM CAPITAL,nan,n.d.,Amorçage (seed),nan,,,,,,,,,,,,,
20 déc. 2023,MYTRAFFIC,France |,Analyse des flux visiteurs,nan,nan,Logiciel et services informatiques,ELAIA PARTNERS,nan,n.d.,Augmentation de capital,n.d.,,,,,,,,,,,,,
20 déc. 2023,CSM GROUPE (CSM PARTICIPATIONS),France |,Diverses compétences complémentaires dans le domaine de l’efficacité énergétique.,20,2023.0,Immobilier & construction,BPIFRANCE INVESTISSEMENT,MANAGER(S),0-20 M€,OBO,0-20,,,,,,,,,,,,,
20 déc. 2023,LATITUDE (EX VENTURE ORBITAL SYST...,France |,Fabrication de composants pour l’industrie aéronautique et aérospatiale dont lanceur spatial réutilisable,nan,nan,Automobile,CREDIT MUTUEL INNOVATION,nan,150-250 M€,2e tour,n.d.,,,,,,,,,,,,,
20 déc. 2023,HYDRETUDES,France |,Conseil,6,2022.0,Services & Conseil aux entreprises,ALTEREO,MANAGER(S),5-10 M€,Build-up,5-10,,,,,,,,,,,,,
20 déc. 2023,GEOBLINK,Espagne |,Plateforme d'intelligence géospatiale,nan,nan,Logiciel et services informatiques,MYTRAFFIC,ELAIA PARTNERS,17 M€,M&A (Int'l),n.d.,,,,,,,,,,,,,
20 déc. 2023,ASYS,France |,Logiciel Gestion RH,20,2023.0,Logiciel et services informatiques,CAPZA,MANAGER(S),n.d.,LBO Primaire,n.d.,,,,,,,,,,,,,
20 déc. 2023,SAULAS ET COMPAGNIE,France |,Solutions de criblage,8,2023.0,Produits & Services industriels,TARGA CAPITAL,DEMETER (VOIR DEMA INVEST),0-20 M€,Cession de titres,nan,,,,,,,,,,,,,
20 déc. 2023,COMMERCIAL EYES,Australie |,Fournisseur de services réglementaires,12,2023.0,Santé,PRODUCTLIFE CONSULTING ...,FONDATEUR(S),20-50 M€,Build-up international,n.d.,,,,,,,,,,,,,
20 déc. 2023,ENFRIO,Espagne |,Froid Industriel,nan,nan,Produits & Services industriels,SYCLEF,MANAGER(S),n.d.,Build-up international,n.d.,,,,,,,,,,,,,
20 déc. 2023,ADEUNIS,France |,Digitalisation par l’IoT d'équipements et services des entreprises,5.50,2023.0,Electronique & Informatique,WEBDYN,TEMPOCAP (EX TEMPO CAPI...,0-5 M€,OPA,0-5,,,,,,,,,,,,,
20 déc. 2023,ARCOMETAL,France |,Concepteur et fabricant de mobilier de grande cuisine haut de gamme,4.50,2022.0,Produits & Services industriels,CODIGEL,MANAGER(S),0-5 M€,M&A Corporate,n.d.,,,,,,,,,,,,,
19 déc. 2023,BIZOUARD PATRIMOINE,France |,"Conseil en Gestion de Patrimoine (CGP)
Pater Familias : Family office",2,2022.0,nan,METAGRAM,MANAGER(S),10-15 M€,Build-up,n.d.,,,,,,,,,,,,,
19 déc. 2023,GSA (GUADELOUPE SERVICES AUTOMOBI...,France |,Distributeurs automobiles Volkswagen et Porsche,45,2022.0,nan,GROUPE CITADELLE,MANAGER(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
19 déc. 2023,FOGALE SENSORS,France |,Fabrication et commercialisation de capteurs liés aux technologies capacitives,6.20,2022.0,Electronique & Informatique,ISATIS CAPITAL,nan,n.d.,Augmentation de capital,n.d.,,,,,,,,,,,,,
19 déc. 2023,MARVELOUS PRODUCTIONS,France |,Studio de production audiovisuelle,nan,nan,Média,PULLUP ENTERTAINMENT (E...,MANAGER(S),n.d.,Majoritaire,n.d.,,,,,,,,,,,,,
19 déc. 2023,HUMENS,France |,Production de spécialités minérales (principalement du carbonate et du bicarbonate) purifiés,200,2023.0,Matières premières & industries de base (minerais,LETO PARTNERS,EURAZEO,n.d.,LBO Bis,n.d.,,,,,,,,,,,,,
19 déc. 2023,EVUM MOTORS,Allemagne |,Constructeur de véhicules utilitaires électriques,nan,nan,Automobile,JOLT CAPITAL,nan,50-150 M€,2e tour,nan,,,,,,,,,,,,,
19 déc. 2023,GROUPE HERMÈS/PLAGE,France |,Cliniques vétérinaires,nan,nan,Santé,CONNECT PRO,FONDATEUR(S),0-20 M€,OBO,n.d.,,,,,,,,,,,,,
19 déc. 2023,AVM UP,France |,Opérateur dans le domaine des communications d’entreprise spécialisé dans la fourniture de services cloud,22,2022.0,Média,SPIE ICS (EX SPIE COMMU...,MANAGER(S),0-20 M€,M&A Corporate,0-20,,,,,,,,,,,,,
19 déc. 2023,TEXYS,France |,Capteurs dédiés aux applications complexes pour sports mécaniques,14,2023.0,Electronique & Informatique,FOGALE SENSORS,ISATIS CAPITAL,20-50 M€,Build-up,n.d.,,,,,,,,,,,,,
19 déc. 2023,EXPERTIME,France |,Intégration de solutions Microsoft concernant le cloud public,20,2023.0,Logiciel et services informatiques,ORANGE BUSINESS (EX ORA...,FONDATEUR(S),20-50 M€,M&A Corporate,20-50,,,,,,,,,,,,,
19 déc. 2023,PREDILIFE,France |,Prédiction des risques de maladies graves,0.29,2022.0,Santé,EURONEXT (BOURSE),n.d.,21.41 M€,Emission obligataire,nan,,,,,,,,,,,,,
19 déc. 2023,EMEIS (EX ORPEA),France |,Maisons de retraite et cliniques pour personnes dépendantes,4 670,2022.0,Santé,CAISSE DES DEPOTS ET CO...,ACTIONNAIRES,n.d.,Retournement,nan,,,,,,,,,,,,,
19 déc. 2023,TEAM TEX,France |,Fabrication de sièges auto pour enfants,80,2022.0,Services & Biens de consommation,MUTARES FRANCE,CREDIT MUTUEL EQUITY,n.d.,Retournement,n.d.,,,,,,,,,,,,,
19 déc. 2023,LA TOLERIE PLASTIQUE,France |,Conception et fabrication de boîtiers plastiques sur-mesure pour appareils électroniques de petites et moyennes séries sans moule,nan,nan,Produits & Services industriels,nan,MANAGER(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
19 déc. 2023,LA TOLERIE PLASTIQUE,France |,Conception et fabrication de boîtiers plastiques sur-mesure pour appareils électroniques de petites et moyennes séries sans moule,nan,nan,Produits & Services industriels,nan,MANAGER(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
18 déc. 2023,LA DEBAUCHE,France |,Brasserie spécialisée dans la production de bière,nan,nan,Tourisme,OCEALIA,n.d.,0-20 M€,Build-up,0-20,,,,,,,,,,,,,
18 déc. 2023,LABORATOIRE ONYLIGNE (CREAPHARM C...,France |,Façonnage de produits cosmétiques,8,2023.0,Santé,PREVOST LABORATORY CONCEPT,CREAPHARM GROUP (SODIA),20-50 M€,Build-up,n.d.,,,,,,,,,,,,,
18 déc. 2023,EDILINK,France |,Éditeur de solutions de gestion de documents en entreprise,nan,nan,Logiciel et services informatiques,ARIANE (DONT ARIANE CAP...,MANAGER(S),n.d.,OBO,n.d.,,,,,,,,,,,,,
18 déc. 2023,FUNDBOT,France |,Digitalisation des processus d’affacturage,nan,nan,nan,HAMBRO PERKS,nan,0-20 M€,1er tour,nan,,,,,,,,,,,,,
18 déc. 2023,SAINT-PAUL RADIOLOGIE,France |,Centre de radiologie,nan,nan,Santé,IMDEV (IMAGERIE DÉVELOP...,MANAGER(S),0-20 M€,Build-up,5-10,,,,,,,,,,,,,
18 déc. 2023,ACTIVITÉ D’ASSET SERVICING POUR C...,Luxembourg |,Asset Servicing pour compte de Tiers.,nan,nan,nan,APEX GROUP,GROUPE EDMOND DE ROTHSC...,n.d.,Carve-out,n.d.,,,,,,,,,,,,,
18 déc. 2023,ALPINE RACING LTD,Royaume-Uni |,Entité en charge des activités de Formule 1 du groupe Renault,nan,nan,Automobile,OTRO CAPITAL,nan,833 M€,Augmentation de capital,nan,,,,,,,,,,,,,
18 déc. 2023,ISALUD HEALTH SERVICES,Espagne |,Comparateur d'assurance santé en ligne,nan,nan,Internet & ecommerce,nan,CNP ASSURANCES,n.d.,Reprise Management,n.d.,,,,,,,,,,,,,
18 déc. 2023,BATIMPRO,France |,Conception,14.80,2022.0,Immobilier & construction,ALTURIA (EX ALUVAIR),MANAGER(S),5-10 M€,M&A Corporate,nan,,,,,,,,,,,,,
18 déc. 2023,LA FRANCE MUTUALISTE,France |,Conseil en assurance mutualiste : assurance vie,nan,nan,nan,MALAKOFF HUMANIS,MANAGER(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
18 déc. 2023,IDEX,France |,Production,2 300,2023.0,nan,BNP PARIBAS (FINANCEMENT),n.d.,n.d.,Refinancement,nan,,,,,,,,,,,,,
18 déc. 2023,EUROSUBSTRAT CALLAC,France |,Fabrication de substrat pour la production de champignons exotiques,5.20,2023.0,nan,BREIZH REBOND,MANAGER(S),0-20 M€,LBO Primaire,0-20,,,,,,,,,,,,,
18 déc. 2023,DOCENT,France |,Marchand en ligne d'art contemporain utilisant l'intelligence artificielle pour recommander des œuvres.,nan,nan,Internet & ecommerce,POLYTECHNIQUE VENTURES SAS,nan,15-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
17 déc. 2023,DATAKALAB,France |,Analyse d’images par l’intelligence artificielle et compression d’algorithmes §logiciel de lecture d'émotions faciales visant notamment à analyser des réactions de panélistes,0.65,2020.0,Logiciel et services informatiques,APPLE,FONDATEUR(S),0-20 M€,M&A (Int'l),0-20,,,,,,,,,,,,,
15 déc. 2023,SAKOWIN,France |,Réacteur d'hydrogène à base de méthane utilisant une technologie plasma micro-ondes,nan,nan,nan,VOL-V,nan,0-20 M€,2e tour,nan,,,,,,,,,,,,,
15 déc. 2023,ARBH,France |,Design d’interface,1.12,2022.0,Média,PUBLICIS GROUPE,FONDATEUR(S),0-20 M€,M&A Corporate,0-20,,,,,,,,,,,,,
15 déc. 2023,YUCCAN LEAD,France |,Application mobile de parrainage digital,nan,nan,Logiciel et services informatiques,SIDE CAPITAL,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
15 déc. 2023,SUN ZU LAB,France |,Fournisseur d'outils et de services d'analyse quantitative sur le marché des crypto-monnaies,nan,nan,Logiciel et services informatiques,ELAIA PARTNERS,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
15 déc. 2023,ABE COURTAGE,France |,Courtage en assurance pour les professionnels du BTP,nan,nan,nan,UNEXO,MANAGER(S),n.d.,MBO,n.d.,,,,,,,,,,,,,
15 déc. 2023,BRACCHI,Italie |,Transports et logistique,nan,nan,nan,ARGOS WITYU,SIPAREX,n.d.,LBO Ter,n.d.,,,,,,,,,,,,,
15 déc. 2023,RHÔNE ENERGIES,France |,Entretien et maintenance des chaudières,nan,nan,nan,nan,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
15 déc. 2023,DIGITAL BANANA STUDIO,France |,Conception des cinématiques et trailers de jeux vidéo,nan,nan,Média,NEWEN,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
15 déc. 2023,BRAIN COMET,France |,Développement de concepts uniques pour séries et films en utilisant des techniques d’animation variées,nan,nan,Média,NEWEN,n.d.,n.d.,Majoritaire,n.d.,,,,,,,,,,,,,
15 déc. 2023,SMARTPRICING,Italie |,Logiciel de gestion des prix et des revenus pour les hôtels qui permet aux gérants d'augmenter leur chiffre d'affaires grâce à des technologies de machine-learning.,nan,nan,Logiciel et services informatiques,PARTECH,nan,n.d.,1er tour,nan,,,,,,,,,,,,,
15 déc. 2023,MICRO CRECHE LES CARAMBOLES,France |,Micro-crèches,nan,nan,Services & Biens de consommation,RUN ENFANCE,MANAGER(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
15 déc. 2023,1001PNEUS.FR,France |,Vente de pneus discount en ligne,nan,nan,Internet & ecommerce,MPSA - GROUPE MASSA (AT...,CNOVA NV (HOLDING DE CD...,0-20 M€,M&A (Int'l),0-20,,,,,,,,,,,,,
15 déc. 2023,FORMATION TRANSPORT GESTION RISQU...,France |,Formation professionnelle pour le transport de marchandises,5,2022.0,Services & Conseil aux entreprises,SPS (SUD PREVENTION SEC...,FONDATEUR(S),5-10 M€,Build-up,0-20,,,,,,,,,,,,,
15 déc. 2023,EUGENE-PERMA,France |,Fabricant de shampoings et soins capillaires pour la grande distribution et les salons de coiffure,83.70,2022.0,Santé,NATUROPERA,MANAGER(S),0-20 M€,Retournement,nan,,,,,,,,,,,,,
15 déc. 2023,NEWLODE GROUP,France |,Intégrateur de solutions en cybersécurité,20,2023.0,Logiciel et services informatiques,SQUAD,FONDATEUR(S),50-150 M€,Build-up,n.d.,,,,,,,,,,,,,
15 déc. 2023,REATHLETIK (EX REATHLETIC),France |,Centre de réathlétisation du sportif professionnel et amateur,nan,nan,Services & Biens de consommation,KINVENT,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
15 déc. 2023,SOCIETE DE TOLERIE INDUSTRIELLE F...,France |,Fabrication de composants industriels de protection passive contre les explosions,31.20,2022.0,Produits & Services industriels,EURONEXT GROWTH (EX ALT...,n.d.,20-50 M€,IPO,nan,,,,,,,,,,,,,
15 déc. 2023,BEEDEEZ,France |,"Plateforme de formation LMS visant à assurer la montée en compétences des collaborateurs dits “de terrain""",nan,nan,Internet & ecommerce,ARKEA CAPITAL,nan,n.d.,1er tour,nan,,,,,,,,,,,,,
15 déc. 2023,B2EBIKE,France |,Vélos à assistance électrique (VAE)  loués en flotte avec des services associés,4,2023.0,nan,KREAXI (VOIR UI INVESTI...,nan,0-5 M€,1er tour,nan,,,,,,,,,,,,,
15 déc. 2023,MISTERTEMP GROUP (EX ALPHYR),France |,Agences de travail temporaire et recrutement basées sur un modèle hybride « phygital »,420,2023.0,Services & Conseil aux entreprises,ANDERA PARTNERS,MONTEFIORE INVESTMENT,150-250 M€,MBO,nan,,,,,,,,,,,,,
15 déc. 2023,MAKE IT HAPPEN STUDIO,France |,Société de production audiovisuelle,nan,nan,Média,PULLUP ENTERTAINMENT (E...,ALLIANCE ENTREPRENDRE (...,n.d.,Majoritaire,n.d.,,,,,,,,,,,,,
15 déc. 2023,RÉSEAU DE SALLES DE SPORT FRANCHI...,France |,Réseau de salles de sport,nan,nan,Tourisme,nan,FONDATEUR(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
15 déc. 2023,NLINE ENERGY,États-Unis |,Fournisseur de solutions d'efficacité énergétique,nan,nan,nan,MIROVA,nan,n.d.,2e tour,nan,,,,,,,,,,,,,
15 déc. 2023,GREEN ACCESS ACADEMY (G2A),France |,Formation continue pour adultes,nan,nan,Services & Biens de consommation,MITEM FRANCE,n.d.,0-20 M€,Minoritaire,0-20,,,,,,,,,,,,,
15 déc. 2023,LOMEDIS,France |,Formation continue pour adultes,nan,nan,Services & Biens de consommation,MITEM FRANCE,n.d.,0-20 M€,Minoritaire,0-20,,,,,,,,,,,,,
15 déc. 2023,D'UN SEUL GESTE (PLS EXPERIENCE),France |,Édition de solutions pour former,nan,nan,Services & Conseil aux entreprises,nan,nan,0-5 M€,Amorçage (seed),nan,,,,,,,,,,,,,
15 déc. 2023,GUESTVIEWS,France |,Éditeur d'un livre d'or numérique,nan,nan,Logiciel et services informatiques,ARENAMETRIX,FONDATEUR(S),0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
15 déc. 2023,CETIH (BEL'M,France |,Enveloppe de l’habitat et rénovation énergétique,273,2023.0,Immobilier & construction,nan,n.d.,n.d.,Financement,nan,,,,,,,,,,,,,
15 déc. 2023,GRAVIS,France |,Distribution d’emballage en verre et en plastique pour les industries pharmaceutiques,25,2023.0,Produits & Services industriels,SC PACK (SACCOF PACKAGI...,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
15 déc. 2023,LESTRINGUEZ,France |,Commercialisation de caravanes et de camping-cars,23,2023.0,Automobile,GROUPE TRIGANO,MANAGER(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
15 déc. 2023,VALLEE NATURE,France |,Développement et la commercialisation de compléments alimentaires naturels,nan,nan,Santé,LABORATOIRES HERBOLISTIQUE,MANAGER(S),0-5 M€,Build-up,0-5,,,,,,,,,,,,,
15 déc. 2023,WALTR,France |,Service de conseil et de fourniture de données pour le contrôle et la réduction de la pollution de l’air,nan,nan,Environnement & CleanTechs,ADP (EX AEROPORTS DE PA...,nan,5-10 M€,Amorçage (seed),nan,,,,,,,,,,,,,
15 déc. 2023,ISABEL MARANT,France |,Marque de prêt-à-porter.,nan,nan,Textile,MONTEFIORE INVESTMENT,n.d.,n.d.,Cession secondaire,n.d.,,,,,,,,,,,,,
15 déc. 2023,KIWEE.CARE,France |,Solution de paiement,nan,nan,nan,nan,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
15 déc. 2023,PLAYMAKERS,France |,Éditeur d'une plateforme permettant aux studios de jeux vidéo d'engager les joueurs dans la création de contenus,nan,nan,Logiciel et services informatiques,ROCKAWAYX,nan,5-10 M€,Amorçage (seed),nan,,,,,,,,,,,,,
15 déc. 2023,NABOO,France |,Éditeur d'un site de réservation de séminaires (lieux,nan,nan,Internet & ecommerce,ISAI,nan,0-20 M€,1er tour,nan,,,,,,,,,,,,,
15 déc. 2023,SIPEARL,France |,Concepteur de microprocesseurs à très hautes performances (HPC) pour supercalculateurs,nan,nan,Electronique & Informatique,BPIFRANCE INVESTISSEMENT,nan,n.d.,1er tour,nan,,,,,,,,,,,,,
15 déc. 2023,WOÔ,France |,Agence de publicité et plateforme de mise en relation entre marques et influenceurs,18.80,2023.0,Média,OLYN GROUP,ELEVATION CAPITAL PARTNERS,20-50 M€,Build-up,20-50,,,,,,,,,,,,,
14 déc. 2023,AGRI 32,France |,Vente,2.90,2023.0,nan,DELTA SUD,n.d.,0-20 M€,Majoritaire,0-20,,,,,,,,,,,,,
14 déc. 2023,CAKESMITHS,Royaume-Uni |,Fabricant de gâteaux artisanaux,30,2023.0,nan,ONORÉ (EX BONCOLAC),MANAGER(S),50-150 M€,Build-up international,n.d.,,,,,,,,,,,,,
14 déc. 2023,LAZARD ELAIA CAPITAL (LEC),France |,Société de gestion consacrée au growth et au LBO tech,nan,nan,nan,LAZARD FRÈRES GESTION,n.d.,n.d.,M&A (Joint Venture),n.d.,,,,,,,,,,,,,
14 déc. 2023,QUICKLIZARD,Israël |,Plateforme de tarification dynamique en temps réel à destination des professionnels du e-commerce et des détaillants omnicanaux,nan,nan,Logiciel et services informatiques,PUBLICIS GROUPE,n.d.,n.d.,M&A (Int'l),20-50,,,,,,,,,,,,,
14 déc. 2023,ACTIVITES BATIMENT ET SERVICES UR...,France |,Activités bâtiment et services urbains,nan,nan,Immobilier & construction,GROUPE ERI,AVENEL,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
14 déc. 2023,GROUPE MARIE-LAURE PLV,France |,Publicité et agencement de point de vente : conception et fabrication de présentoirs et meubles et objets permettant de mettre en avant les produits cosmétiques de grandes marques,70,2022.0,Média,HIVEST CAPITAL PARTNERS,FONDATEUR(S),50-150 M€,LBO Primaire,n.d.,,,,,,,,,,,,,
14 déc. 2023,GALILEE,France |,Intégration de solutions logicielles dédiées au marketing (Plateforme de Production Marketing - PPM),5,2022.0,Logiciel et services informatiques,DATASOLUTION,WEDIA,0-5 M€,Majoritaire,5-10,,,,,,,,,,,,,
14 déc. 2023,COURVOISIER,France |,Marque de cognac,228,2022.0,nan,CAMPARI,BEAM SUNTORY,1 220 M€,M&A (Int'l),nan,,,,,,,,,,,,,
14 déc. 2023,INALVE,France |,Production de microalgues destinées à l’alimentation animale,nan,nan,nan,SEVENTURE PARTNERS,nan,0-20 M€,2e tour,nan,,,,,,,,,,,,,
14 déc. 2023,INSURELY,Suède |,Logiciels d'open finance (de collecte et d'ouverture des données financières aux acteurs agréés) pour le secteur de l'assurance,nan,nan,Logiciel et services informatiques,CNI NORDIC,nan,n.d.,2e tour,nan,,,,,,,,,,,,,
14 déc. 2023,CAMIF MATELSOM (EX GROUPE MATELSOM),France |,Vente en ligne de meubles et objets de décoration fabriqués exclusivement en Europe et offre de location de chambres d’enfant,30,2023.0,Internet & ecommerce,MUTUELLE GENERALE EDUCA...,n.d.,40 M€,Minoritaire,nan,,,,,,,,,,,,,
14 déc. 2023,MAKA E-COMMERCE,Nigeria |,Plateforme sociale interactive se basant sur des vidéos d’essayage en direct,nan,nan,Internet & ecommerce,JANNGO CAPITAL,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
14 déc. 2023,UNIFII,Royaume-Uni |,Implémentation et intégration de la plateforme cloud pour entreprises ServiceNow,nan,nan,Logiciel et services informatiques,INETUM,n.d.,20-50 M€,Build-up international,20-50,,,,,,,,,,,,,
14 déc. 2023,MAMA EDITIONS,France |,Edition de livres sur les thèmes du chamanisme,nan,nan,Média,HACHETTE LIVRE,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
14 déc. 2023,TME PHARMA,Allemagne |,Développement de nouvelles thérapies pour le traitement des cancers,nan,nan,Produits Pharmaceutiques & matériel médical,EURONEXT GROWTH (EX ALT...,nan,0-20 M€,Augmentation de capital,nan,,,,,,,,,,,,,
13 déc. 2023,PIVOT,France |,Logiciel de contrôle des dépenses clé en main conçu pour les équipes achat.,nan,nan,Logiciel et services informatiques,VISIONARIES CLUB,nan,50-150 M€,1er tour,nan,,,,,,,,,,,,,
13 déc. 2023,RADIO PHARMA LOGISTICS GROUP (RLG),France |,Logistique des produits radiopharmaceutiques et des matières sensibles,nan,nan,nan,LIFE COURIERS,n.d.,n.d.,M&A (Int'l),n.d.,,,,,,,,,,,,,
13 déc. 2023,DOMAINE VITICOLE DU CHÂTEAU GISCOURS,France |,Domaine viticole,nan,nan,nan,SOCIÉTÉ D'EXPLOITATION ...,GFA CHATEAU GISCOURS,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
13 déc. 2023,TRANSPORTS CHARRIER,France |,Transport de marchandises à la demande,nan,nan,nan,GROUPE ROUSSEAU,MANAGER(S),0-20 M€,M&A Corporate,n.d.,,,,,,,,,,,,,
13 déc. 2023,NISSAN,Japon |,Constructeur automobile,17 944,2022.0,Automobile,NISSAN,GROUPE RENAULT,n.d.,Cession de titres,nan,,,,,,,,,,,,,
13 déc. 2023,ONE OPERATEUR,France |,Opérateur et intégrateur télécom : téléphonie sur site ou cloud,9,2022.0,Média,KOESIO,FONDATEUR(S),0-20 M€,Build-up,n.d.,,,,,,,,,,,,,
13 déc. 2023,FOOTBAR,France |,Concepteur d'un capteur,0.63,2022.0,Electronique & Informatique,nan,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
13 déc. 2023,ARC BUILDING PRODUCTS,Irlande |,Adhésifs et mastics pour la construction,nan,nan,Immobilier & construction,ARKEMA,n.d.,n.d.,M&A (Int'l),n.d.,,,,,,,,,,,,,
13 déc. 2023,TECHNICOLOR CREATIVE STUDIOS (TCS),France |,Effets spéciaux pour les films et séries,784,2022.0,Média,ANGELO GORDON,EURONEXT (BOURSE),42 M€,OPA,20-50,,,,,,,,,,,,,
13 déc. 2023,TESCA GROUP,France |,Textile,290,2022.0,Textile,BPIFRANCE INVESTISSEMENT,nan,n.d.,Augmentation de capital,n.d.,,,,,,,,,,,,,
13 déc. 2023,MAROQUINERIE THOMAS,France |,Confection de sacs et petits articles en cuir et textile de luxe (soie...) pour le compte de grandes marques,144,2021.0,Textile,RAISE,ACTIONNAIRES FAMILIAUX,120 M€,Augmentation de capital,n.d.,,,,,,,,,,,,,
13 déc. 2023,ELAN,France |,Distributeur de vins & spiritueux en Asie,45,2022.0,nan,UNIGRAINS,LEITMOTIV,20-50 M€,LBO Bis,n.d.,,,,,,,,,,,,,
13 déc. 2023,BEALINK,France |,Editeur de Learning Experience Platform (LXP),1.70,2023.0,Logiciel et services informatiques,SYFADIS,FONDATEUR(S),0-20 M€,M&A Corporate,n.d.,,,,,,,,,,,,,
13 déc. 2023,CINQ CLINIQUES VÉTÉRINAIRES DU GR...,France |,Réseau de cliniques vétérinaires,15,2022.0,Santé,FOVEA,MANAGER(S),15-20 M€,Build-up,n.d.,,,,,,,,,,,,,
13 déc. 2023,FRAÎCHE CANCAN (EX I LUNCH),France |,Société de restauration collective et de frigos connectés,3.50,2022.0,Tourisme,NEOCORNER (NSEDA),FONDATEUR(S),0-20 M€,Retournement,nan,,,,,,,,,,,,,
13 déc. 2023,SMARTAPPS,France |,Éditeur d'une solution de médiation culturelle,nan,nan,Logiciel et services informatiques,ARENAMETRIX,FONDATEUR(S),0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
13 déc. 2023,ZAMA,France |,Développement et distribution de services de chiffrement homomorphe (homomorphic encryption).,nan,nan,Logiciel et services informatiques,MULTICOIN CAPITAL,nan,250-500 M€,1er tour,nan,,,,,,,,,,,,,
13 déc. 2023,CXS THERAPEUTICS,France |,Plateforme de medtech impliquée dans le screening et la réaffectation de molécules thérapeutiques dans le cadre des maladies touchant le SNC.,nan,nan,Santé,VALEUREUX,nan,0-5 M€,Amorçage (seed),nan,,,,,,,,,,,,,
13 déc. 2023,RAISERS PARTNERS,France |,nan,nan,nan,nan,RAISERS PARTNERS,n.d.,n.d.,Fusion,n.d.,,,,,,,,,,,,,
13 déc. 2023,3DEUS DYNAMICS,France |,Fabrication additive de matériaux souples avec son procédé innovant de moulage dynamique,nan,nan,Electronique & Informatique,ELKEM SILICONES,nan,15-20 M€,1er tour,nan,,,,,,,,,,,,,
12 déc. 2023,DSFLOW,France |,Solution Saas pour surveiller les actifs énergétiques en temps réel et ainsi optimiser leur stratégie d’approvisionnement.,nan,nan,Logiciel et services informatiques,TOTAL ENERGIES (TOTALEN...,MANAGER(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
12 déc. 2023,ARIA,France |,Fintech proposant une solution de paiement BtoB incluant le KYC,nan,nan,nan,ADEVINTA VENTURES,nan,50-150 M€,1er tour,nan,,,,,,,,,,,,,
12 déc. 2023,RESMA,France |,Équipementier dédié à la carrosserie pour les poids lourds,22,2021.0,Produits & Services industriels,CAPELIA,n.d.,0-20 M€,LBO Primaire,0-5,,,,,,,,,,,,,
12 déc. 2023,CENTRAL PEINTURE,France |,Peinture et ravalement de façade,nan,nan,Immobilier & construction,GROUPE ANDRÉ,MANAGER(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
12 déc. 2023,GROUPE NATIMPACT,France |,Fédération de PME indépendantes spécialisées dans l'alimentation biologique,40,2023.0,nan,ESFIN GESTION,nan,20-50 M€,Augmentation de capital,20-50,,,,,,,,,,,,,
12 déc. 2023,AQUARAMA,Italie |,Fabrique et commercialise des portiques,nan,nan,Produits & Services industriels,LAVANCE,n.d.,n.d.,Minoritaire,n.d.,,,,,,,,,,,,,
12 déc. 2023,DIONYMER,France |,Technologie de transformation par fermentation bactérienne de biodéchets en polymères biodégradables,nan,nan,Environnement & CleanTechs,AQUITI GESTION,nan,0-5 M€,Amorçage (seed),nan,,,,,,,,,,,,,
12 déc. 2023,AGRAL SA / JM CABAY SA,Belgique |,Producteur de beurre,nan,nan,nan,BRIOIS,MANAGER(S),5-10 M€,M&A (Int'l),n.d.,,,,,,,,,,,,,
